id,Topo,X,Y,Z,diameter,code1,code2,code3
49,/S49,120.5899963,2.380000114,-50.11999893,0.1,apbud,,ap bud
50,*^/A1/S1,148,1.89,106.31,4.3,rt,,
51,/S2,146.77,0.81,108.14,2.8,rt,,
52,/S3,146.66,0.29,109.22,2.5,rt,,
53,/S4,146.7,-0.23,110.87,2.5,rt,,
54,*^/A1/S1,146.57,1.62,103.26,4.2,rt,,
55,/S2,144.25,3.32,104.88,1.9,rt,,
56,/S3,143.82,3.9,106.92,2,rt,,
57,/S4,143.7,3.7,108.7,2,rt,,
58,*^/A1/S1,144.53,2.4,96.75,4,rt,,
59,/S2,142.77,4.81,98.96,2,rt,,
60,/S3,141.94,5.37,101.66,2,rt,,
61,/S4,141.52,5.82,103.88,2.8,rt,,
62,/S5,141.67,6.92,106.12,2.9,rt,,
63,/S6,141.5,8.53,108.77,3.5,rt,,
64,*^/A1/S1,143.67,2.33,94.03,4.1,rt,,
65,/S2,141.5,3.7,95.58,2.6,rt,,
66,/S3,140.29,4.05,97.83,2.6,rt,,
67,/S4,139.69,4.27,100.58,2.7,rt,,
68,/S5,138.28,4.25,103.96,3.2,rt,,
69,/S6,138.16,4.81,105.81,3.1,rt,,
70,*^/A1/S1,138.44,4.29,104.73,3.6,rt,,
71,/S2,139.91,4.35,106.01,2.3,rt,,
72,/S3,139.78,4.81,107.7,2.2,rt,,
73,/S4,140.18,4.93,109.03,2.2,rt,,
74,*^/A1/S1,138.35,4.19,104.79,3.6,rt,,
75,/S2,136.57,4.85,105.86,2.1,rt,,
76,/S3,136.28,4.78,107.67,1.9,rt,,
77,/S4,136.03,5.52,109.33,1.9,rt,,
78,*^/A1/S1,138.2448863,5.688263266,104.777623,3.1,rt,,
79,/S2,137.4048863,7.108263266,106.977623,2,rt,,
80,/S3,137.5448863,7.098263266,108.467623,2,rt,,
81,/S4,137.4148863,7.678263266,109.907623,2,rt,,
82,*^/A1/S1,140.86,8.39,106.4,2.8,rt,,
84,/S3,139.21,8.85,107.11,2,rt,,
85,/S4,138.5,9.02,108.28,2,rt,,
86,*^/A1/S1,143.22,2.55,89.98,4.4,rt,,
87,/S2,145.22,2.31,90.37,2.4,rt,,
88,/S3,147.69,1.55,92.66,2.2,rt,,
89,/S4,149.89,1.1,95.17,2.3,rt,,
90,/S5,152.14,0.58,98.4,2.6,rt,,
91,/S6,154.41,0.67,101.44,2.8,rt,,
92,/S7,156.15,0.4,103.92,3,rt,,
93,/S8,157.7,0.15,105.91,3,rt,,
94,/S9,159.74,0.18,108.14,3.1,rt,,
95,*^/A1/S1,152.2,0.1,98.83,2.7,rt,,suspended
96,/S2,151.78,1.28,100.42,0.7,rt,,
97,/S3,151.96,1.26,101.66,0.6,rt,,
98,/S4,152.05,1.66,103.35,0.4,rt,,
99,*^/A1/S1,155.95,0.12,104.58,2.9,rt,,
100,/S2,155.94,1.38,105.93,1.2,rt,,
